rank,feature,importance
1,candidate_num_cited_by,75202.76596653461
2,age_ratio,7596.793288946152
3,candidate_position,6764.516093611717
4,cosine_x_citations,2383.0548932552338
5,qdrant_cosine_score,2352.823166191578
6,candidate_citation_count,2041.6424934267998
7,citation_count_ratio,2001.2503576278687
8,query_age_days,1749.186391532421
9,query_num_references,1726.2534816265106
10,candidate_citations_per_year,1633.2916722893715
11,candidate_influential_citations,1563.8026618361473
12,query_citation_count,1290.2721555233002
13,category_x_recency,1187.7681130766869
14,citations_x_recency,1143.2343423366547
15,position_inverse,1107.6220703125
16,cosine_x_recency,823.2756890654564
17,shared_author_count,791.4225223064423
18,candidate_age_days,763.275697529316
19,candidate_is_newer,761.230022072792
20,year_diff,618.8730190396309
21,candidate_recency_score,584.2375701665878
22,cosine_x_cocitation,558.3581310510635
23,co_citation_count,401.8176366686821
24,candidate_log_citations,295.0608749985695
25,query_log_citations,219.8663707971573
26,same_primary_category,186.0732226371765
27,ewma_longterm_similarity,0.0
28,ewma_shortterm_similarity,0.0
29,ewma_negative_similarity,0.0
30,cluster_importance,0.0
31,cluster_distance_to_medoid,0.0
32,is_suppressed_category,0.0
33,onboarding_category_match,0.0
34,user_total_saves,0.0
35,user_total_dismissals,0.0
36,user_days_since_last_save,0.0
37,user_session_save_count,0.0
